water,DehytonPK45,DehytonAB30,DehytonMC,Plantacare818,Plantacare2000,Texapon,PlantaponLGCsorb,CC7BZ,ArlyponTT
2.38,0.98,0,2.94,0,3.4,0,0,0.19,0.11
2.93,0,0,0,2.41,4.44,0,0,0.02,0.2
2.52,0,0,2.56,3.9,0.79,0,0,0.2,0.03
3.02,0,6.18,0,0.77,0,0,0,0.01,0.02
2.51,0,0,4.76,0.84,1.56,0,0,0.2,0.13
2.84,4.08,0.61,2.26,0,0,0,0,0.2,0.01
2.65,0,2.27,1.63,3.06,0,0,0,0.2,0.19
2.97,0,0,0,0.81,6.11,0.06,0,0.03,0.02
2.36,0,3.49,0,3.49,0.29,0,0,0.2,0.17
2.96,0,0,0,2.85,3.88,0,0,0.19,0.12
3,0,0,6.83,0.02,0,0,0,0.13,0.02
2.48,0,2.92,4.2,0,0,0,0,0.2,0.2
2.97,0,0,0,0.81,6.11,0.06,0,0.03,0.02
2.51,3.42,0.17,0,0,3.64,0,0,0.07,0.19
2.28,0,2.66,3.09,0,1.57,0,0,0.2,0.2
2.58,0,0,0,3.58,3.58,0,0,0.08,0.18
3.02,0,0,0,5.74,1.19,0,0.03,0.01,0.01
2.94,1.82,4.34,0.79,0,0,0,0,0.1,0.01
2.2,0,1.5,2.93,2.97,0,0,0,0.2,0.2
2.96,0,0,0,2.85,3.88,0,0,0.19,0.12
2.31,0,3.32,0.67,0,3.32,0,0,0.2,0.18
2.65,0,2.27,1.63,3.06,0,0,0,0.2,0.19
2.37,2.45,3.04,0,0,1.77,0,0,0.19,0.18
3.02,0,6.18,0,0.77,0,0,0,0.01,0.02
