water,Texapon,DehytonAB30,Plantacare818,CC7BZ,ArlyponTT
2.34,0.13,4.29,3.09,0.15,0
2.39,3.2,1.47,2.84,0.03,0.07
2.17,3.24,1.79,2.47,0.16,0.17
2.47,1.15,3.21,3.15,0.02,0
2.33,2.18,1.53,3.8,0.03,0.13
2.24,3.45,3.9,0.16,0.19,0.06
2.4,5.24,0.91,1.36,0,0.09
2.26,4.2,1.59,1.72,0.05,0.18
2.34,0.91,2.93,3.67,0.06,0.09
2.2,2.81,1.25,3.45,0.09,0.2
2.23,1.4,1.47,4.64,0.17,0.09
2.21,1.29,4.97,1.25,0.2,0.08
2.26,3.08,2.15,2.28,0.05,0.18
2.44,1.89,3.58,2.04,0.04,0.01
2.41,1.85,2.69,2.96,0.07,0.02
2.25,3.1,3.34,1.07,0.08,0.16
2.15,2.39,3.1,2.02,0.17,0.17
2.27,2.43,2.15,2.92,0.11,0.12
2.33,0.68,1.9,4.93,0.09,0.07
2.09,1.58,1.89,4.04,0.2,0.2
2.29,2.42,2.92,2.16,0.19,0.02
2.23,5.63,0.7,1.18,0.13,0.13
2.18,5.47,1.97,0.06,0.18,0.14
2.23,6.41,0.21,0.89,0.18,0.08
