,water,Texapon,DehytonAB30,Plantacare818,CC7BZ,ArlyponTT
R48,2.32,4.33,0.59,2.59,0.03,0.14
R49,2.36,2.6,3.71,1.2,0.03,0.1
R50,2.16,1.3,3.42,2.79,0.15,0.18
R51,2.23,0.52,3.4,3.6,0.19,0.06
R52,2.17,5.05,2.11,0.35,0.19,0.13
R53,2.39,3.56,1.28,2.66,0.01,0.1
R54,2.25,3.35,3,1.16,0.19,0.05
R55,2.18,2.65,2.63,2.23,0.13,0.18
R56,2.42,1.25,3.62,2.64,0,0.07
R57,2.27,0.69,4.58,2.23,0.1,0.13
R58,2.35,2.08,0.78,4.65,0.04,0.1
R59,2.11,1.42,0.62,5.46,0.2,0.19
D48,2.24,0.19,2.15,5.16,0.16,0.1
D49,2.21,1.91,2.84,2.76,0.18,0.1
D50,2.22,1.54,4.24,1.73,0.09,0.18
D51,2.14,4.44,2.9,0.17,0.17,0.18
D52,2.25,2.86,2.84,1.8,0.11,0.14
D53,2.16,4.59,2.75,0.17,0.14,0.19
D54,2.25,1.29,2.94,3.28,0.07,0.17
D55,2.23,0.62,3.53,3.36,0.17,0.09
D56,2.26,0.32,3.77,3.42,0.14,0.09
D57,2.27,1.69,2.8,3.02,0.08,0.14
D58,2.15,3.24,4.12,0.14,0.18,0.17
D59,2.28,0.51,3.24,3.76,0.11,0.1
